as_of,open_interest,spec_long,spec_short,net_spec
2021-01-05,568888,349946,70628,279318
2021-01-12,555538,313217,66990,246227
2021-01-19,541330,307507,60869,246638
2021-01-26,534574,313532,55986,257546
2021-02-02,520011,314352,57226,257126
2021-02-09,506741,309326,57919,251407
2021-02-16,503016,303583,68614,234969
2021-02-23,481125,284081,68348,215733
2021-03-02,467008,265533,75895,189638
2021-03-09,473871,254839,79676,175163
2021-03-16,476467,256237,76041,180196
2021-03-23,485457,262774,88707,174067
2021-03-30,467321,263453,95925,167528
2021-04-06,463353,275703,86194,189509
2021-04-13,460733,269513,88639,180874
2021-04-20,471738,275985,94487,181498
2021-04-27,473305,270717,100098,170619
2021-05-04,470341,270194,99453,170741
2021-05-11,498693,282161,89906,192255
2021-05-18,520410,290267,91378,198889
2021-05-25,510164,288266,73624,214642
2021-06-01,489198,288826,75125,213701
2021-06-08,491858,288781,79394,209387
2021-06-15,480127,273947,81911,192036
2021-06-22,453940,253153,86939,166214
2021-06-29,453360,254206,91980,162226
2021-07-06,465811,270545,87724,182821
2021-07-13,495798,275543,84707,190836
2021-07-20,490520,277312,81340,195972
2021-07-27,500187,273688,74300,199388
2021-08-03,485663,273143,76808,196335
2021-08-10,477232,277260,108854,168406
2021-08-17,485485,284437,92895,191542
2021-08-24,504735,299084,88431,210653
2021-08-31,507113,311004,94454,216550
2021-09-07,506772,306017,99978,206039
2021-09-14,506356,306988,99228,207760
2021-09-21,492765,296670,109023,187647
2021-09-28,490858,293814,125415,168399
2021-10-05,483789,295939,113357,182582
2021-10-12,484382,298503,112964,185539
2021-10-19,485974,299882,106533,193349
2021-10-26,509794,313646,99086,214560
2021-11-02,507616,311091,95962,215129
2021-11-09,571025,341111,90930,250181
2021-11-16,612612,360529,100749,259780
2021-11-23,559823,326409,91998,234411
2021-11-30,531868,310253,84393,225860
2021-12-07,499307,300518,83333,217185
2021-12-14,503709,298142,95741,202401
2021-12-21,500846,296628,90817,205811
2021-12-28,508912,303879,90723,213156
2022-01-04,502717,296583,85228,211355
2022-01-11,546516,290102,90365,199737
2022-01-18,539204,290528,96321,194207
2022-01-25,572078,313415,93264,220151
2022-02-01,515331,275994,103852,172142
2022-02-08,512842,279559,92853,186706
2022-02-15,558645,313269,99656,213613
2022-02-22,611488,350096,106948,243148
2022-03-01,615600,354177,96555,257622
2022-03-08,638502,364618,90230,274388
2022-03-15,617605,346731,84943,261788
2022-03-22,605191,328660,80628,248032
2022-03-29,574521,327632,70036,257596
2022-04-05,560666,324570,79029,245541
2022-04-12,577639,338164,83877,254287
2022-04-19,575202,330745,90988,239757
2022-04-26,557785,310511,92487,218024
2022-05-03,560441,293439,94271,199168
2022-05-10,571447,288947,95632,193315
2022-05-17,555756,283011,107651,175360
2022-05-24,530098,282202,98389,183813
2022-05-31,513722,269459,96870,172589
2022-06-07,494130,270356,95088,175268
2022-06-14,497456,266596,111998,154598
2022-06-21,500276,268119,104832,163287
2022-06-28,497005,268712,111019,157693
2022-07-05,498210,267806,122146,145660
2022-07-12,542493,251126,133005,118121
2022-07-19,524786,241004,146049,94955
2022-07-26,487515,241661,148971,92690
2022-08-02,459649,242128,117802,124326
2022-08-09,453540,242906,100055,142851
2022-08-16,453960,238196,97032,141164
2022-08-23,457762,237427,111580,125847
2022-08-30,459165,235314,117580,117734
2022-09-06,465908,231527,127670,103857
2022-09-13,463674,225932,128588,97344
2022-09-20,469395,214557,148835,65722
2022-09-27,457061,207154,155073,52081
2022-10-04,437065,215964,127579,88385
2022-10-11,431395,212561,118141,94420
2022-10-18,434701,210890,133934,76956
2022-10-25,456072,212853,144821,68032
2022-11-01,467276,216341,151718,64623
2022-11-08,488471,223135,140797,82338
2022-11-15,495171,227282,101013,126269
2022-11-22,449542,214284,98171,116113
2022-11-29,433661,209161,99158,110003
2022-12-06,422100,211472,96347,115125
2022-12-13,437040,224409,98760,125649
2022-12-20,436653,226136,97288,128848
